,text,time,confidence,top emotions,conv_metrics
15,"space and we we split the revenue, That's...","{'begin': 48.19715, 'end': 55.141888}",,"[{'name': 'Calmness', 'score': 0.15122199058532715}, {'name': 'Doubt', 'score': 0.13381648063659668}, {'name': 'Contemplation', 'score': 0.1329081505537033}, {'name': 'Boredom', 'score': 0.11948943883180618}, {'name': 'Confusion', 'score': 0.11826098710298538}]","3,2,2"
16,"Well, that's actually not a bad idea. But the split","{'begin': 56.418335, 'end': 60.41932}",,"[{'name': 'Confusion', 'score': 0.37123632431030273}, {'name': 'Surprise (negative)', 'score': 0.26662176847457886}, {'name': 'Realization', 'score': 0.26654842495918274}, {'name': 'Contemplation', 'score': 0.24844969809055328}, {'name': 'Doubt', 'score': 0.24038434028625488}]","3,2,2"
17,needs to be favorable to us. We can't lose out in our own store. True...,"{'begin': 60.41932, 'end': 67.118286}",,"[{'name': 'Determination', 'score': 0.27459603548049927}, {'name': 'Realization', 'score': 0.2724524736404419}, {'name': 'Concentration', 'score': 0.24375903606414795}, {'name': 'Calmness', 'score': 0.2372998148202896}, {'name': 'Contemplation', 'score': 0.20397835969924927}]","3,3,4"
18,So what... If we go,"{'begin': 67.75667, 'end': 69.21425}",0.8895508,"[{'name': 'Boredom', 'score': 0.23293063044548035}, {'name': 'Calmness', 'score': 0.18273834884166718}, {'name': 'Interest', 'score': 0.14472635090351105}, {'name': 'Concentration', 'score': 0.13455569744110107}, {'name': 'Confusion', 'score': 0.1320922076702118}]","3,3,2"
19,sixty four d,"{'begin': 69.75162, 'end': 71.0496}",0.92317706,"[{'name': 'Interest', 'score': 0.17141973972320557}, {'name': 'Pride', 'score': 0.15806539356708527}, {'name': 'Confusion', 'score': 0.1463204324245453}, {'name': 'Satisfaction', 'score': 0.146124005317688}, {'name': 'Concentration', 'score': 0.12851206958293915}]","3,2,4"
20,your way,"{'begin': 71.50717, 'end': 72.32636}",0.9909668,"[{'name': 'Contempt', 'score': 0.1449480950832367}, {'name': 'Anger', 'score': 0.1339479684829712}, {'name': 'Confusion', 'score': 0.12540234625339508}, {'name': 'Disgust', 'score': 0.10042060911655426}, {'name': 'Determination', 'score': 0.09209725260734558}]","2,1,4"
21,on local authors,"{'begin': 73.02334, 'end': 74.081924}",0.96484375,"[{'name': 'Confusion', 'score': 0.21376363933086395}, {'name': 'Concentration', 'score': 0.1787441521883011}, {'name': 'Determination', 'score': 0.17484164237976074}, {'name': 'Doubt', 'score': 0.1459769606590271}, {'name': 'Interest', 'score': 0.13306623697280884}]","3,2,4"
22,and I can push for a five,"{'begin': 74.47438, 'end': 77.02104}",,"[{'name': 'Determination', 'score': 0.5063833594322205}, {'name': 'Concentration', 'score': 0.26443758606910706}, {'name': 'Calmness', 'score': 0.24149389564990997}, {'name': 'Excitement', 'score': 0.20132476091384888}, {'name': 'Interest', 'score': 0.14576134085655212}]","4,3,4"
23,percent additional discount on the best sellers. If,"{'begin': 77.02104, 'end': 80.86355}",,"[{'name': 'Concentration', 'score': 0.20168666541576385}, {'name': 'Interest', 'score': 0.19168977439403534}, {'name': 'Calmness', 'score': 0.14143900573253632}, {'name': 'Determination', 'score': 0.1358768194913864}, {'name': 'Contempt', 'score': 0.09334170818328857}]","4,3,4"
24,you host monthly,"{'begin': 80.92063, 'end': 82.67146}",,"[{'name': 'Concentration', 'score': 0.2733028531074524}, {'name': 'Calmness', 'score': 0.23150713741779327}, {'name': 'Determination', 'score': 0.19948767125606537}, {'name': 'Anger', 'score': 0.17983567714691162}, {'name': 'Disgust', 'score': 0.17838077247142792}]","3,2,4"
25,events. Okay. Make it ten,"{'begin': 82.67146, 'end': 86.26855}",,"[{'name': 'Concentration', 'score': 0.23483291268348694}, {'name': 'Interest', 'score': 0.1988452672958374}, {'name': 'Doubt', 'score': 0.1840156763792038}, {'name': 'Calmness', 'score': 0.17325448989868164}, {'name': 'Confusion', 'score': 0.17294780910015106}]","3,2,3"
26,percent and you've got yourself more than just events. We can do,"{'begin': 86.26855, 'end': 89.77146}",,"[{'name': 'Determination', 'score': 0.5380027890205383}, {'name': 'Concentration', 'score': 0.39528870582580566}, {'name': 'Calmness', 'score': 0.26443490386009216}, {'name': 'Pride', 'score': 0.25911617279052734}, {'name': 'Satisfaction', 'score': 0.2237781435251236}]","3,3,4"
27,"promotions, signings, the works. Okay.","{'begin': 89.77146, 'end': 95.93501}",,"[{'name': 'Calmness', 'score': 0.33749544620513916}, {'name': 'Contemplation', 'score': 0.2849005162715912}, {'name': 'Concentration', 'score': 0.2711024582386017}, {'name': 'Boredom', 'score': 0.2409353405237198}, {'name': 'Distress', 'score': 0.14431826770305634}]","3,3,4"
28,Okay. Okay. Ten,"{'begin': 96.25501, 'end': 98.41501}",,"[{'name': 'Amusement', 'score': 0.2604002356529236}, {'name': 'Awkwardness', 'score': 0.20699875056743622}, {'name': 'Joy', 'score': 0.1293046474456787}, {'name': 'Tiredness', 'score': 0.12506122887134552}, {'name': 'Distress', 'score': 0.09981750696897507}]","3,2,4"
29,percent it is. You drive a hard,"{'begin': 98.41501, 'end': 101.05624}",,"[{'name': 'Realization', 'score': 0.1568300426006317}, {'name': 'Awkwardness', 'score': 0.12727513909339905}, {'name': 'Contemplation', 'score': 0.12477599084377289}, {'name': 'Confusion', 'score': 0.10612814873456955}, {'name': 'Amusement', 'score': 0.10322733968496323}]","3,2,2"
30,bargain and Jessica. I have to tell my team that,"{'begin': 101.05624, 'end': 104.39052}",,"[{'name': 'Confusion', 'score': 0.1376720368862152}, {'name': 'Distress', 'score': 0.11934094876050949}, {'name': 'Determination', 'score': 0.11785653233528137}, {'name': 'Awkwardness', 'score': 0.10036403685808182}, {'name': 'Disappointment', 'score': 0.09624742716550827}]","3,2,2"
31,"you are a quite the negotiator. Well,","{'begin': 104.39052, 'end': 107.66439}",,"[{'name': 'Realization', 'score': 0.29077965021133423}, {'name': 'Calmness', 'score': 0.19405417144298553}, {'name': 'Determination', 'score': 0.14098824560642242}, {'name': 'Contemplation', 'score': 0.1042017862200737}, {'name': 'Doubt', 'score': 0.10347456485033035}]","3,3,4"
32,I'll tell mind that someone in the big bad world of corporate,"{'begin': 108.06398, 'end': 111.02092}",,"[{'name': 'Concentration', 'score': 0.26311320066452026}, {'name': 'Calmness', 'score': 0.14534160494804382}, {'name': 'Contemplation', 'score': 0.14258559048175812}, {'name': 'Boredom', 'score': 0.1398826539516449}, {'name': 'Determination', 'score': 0.1398223340511322}]","3,3,4"
33,publishing has our back after all? So,"{'begin': 111.02092, 'end': 114.71761}",,"[{'name': 'Boredom', 'score': 0.3045603334903717}, {'name': 'Concentration', 'score': 0.2559942305088043}, {'name': 'Contemplation', 'score': 0.20087411999702454}, {'name': 'Calmness', 'score': 0.1972740739583969}, {'name': 'Interest', 'score': 0.13873039186000824}]","3,3,4"
34,"do we have a deal then? Yeah, Mark,","{'begin': 114.77704, 'end': 117.825356}",,"[{'name': 'Calmness', 'score': 0.18423189222812653}, {'name': 'Determination', 'score': 0.17321230471134186}, {'name': 'Contempt', 'score': 0.14050310850143433}, {'name': 'Doubt', 'score': 0.11489862948656082}, {'name': 'Anger', 'score': 0.10628250986337662}]","2,2,3"
35,"we have a deal. And hopefully, we'll","{'begin': 118.064316, 'end': 120.85225}",,"[{'name': 'Determination', 'score': 0.3616379499435425}, {'name': 'Calmness', 'score': 0.3479445278644562}, {'name': 'Interest', 'score': 0.3006993532180786}, {'name': 'Concentration', 'score': 0.285582572221756}, {'name': 'Contemplation', 'score': 0.15096835792064667}]","4,3,4"
36,have a start to a better partnership too.,"{'begin': 120.85225, 'end': 122.52501}",,"[{'name': 'Calmness', 'score': 0.2896539866924286}, {'name': 'Determination', 'score': 0.2827754020690918}, {'name': 'Concentration', 'score': 0.26777198910713196}, {'name': 'Interest', 'score': 0.17401853203773499}, {'name': 'Realization', 'score': 0.11661612242460251}]","4,3,4"
37,Will,"{'begin': 0.19946235, 'end': 0.69946235}",0.88720703,"[{'name': 'Boredom', 'score': 0.1830727905035019}, {'name': 'Calmness', 'score': 0.10823266208171844}, {'name': 'Awkwardness', 'score': 0.09876342117786407}, {'name': 'Confusion', 'score': 0.09688327461481094}, {'name': 'Amusement', 'score': 0.06453491002321243}]","3,2,4"
38,I understand it is tough. But let's find a way to work together?,"{'begin': 1.0770967, 'end': 5.305699}",0.98997146,"[{'name': 'Determination', 'score': 0.33628177642822266}, {'name': 'Contemplation', 'score': 0.2857537865638733}, {'name': 'Contentment', 'score': 0.20079103112220764}, {'name': 'Satisfaction', 'score': 0.17793332040309906}, {'name': 'Calmness', 'score': 0.1612437218427658}]","4,4,4"
39,What if we offer a tier discount system based on volume?,"{'begin': 6.023763, 'end': 9.792621}",0.8842552,"[{'name': 'Confusion', 'score': 0.4522812068462372}, {'name': 'Surprise (negative)', 'score': 0.24532470107078552}, {'name': 'Doubt', 'score': 0.11734981089830399}, {'name': 'Disappointment', 'score': 0.11596967279911041}, {'name': 'Distress', 'score': 0.11462219804525375}]","2,1,4"
40,"Volume,","{'begin': 11.630766, 'end': 12.130766}",0.9980469,"[{'name': 'Confusion', 'score': 0.10529255121946335}, {'name': 'Calmness', 'score': 0.08840640634298325}, {'name': 'Boredom', 'score': 0.081627756357193}, {'name': 'Anger', 'score': 0.08155883848667145}, {'name': 'Disappointment', 'score': 0.06357235461473465}]","3,2,2"
41,you know we can't order as much as the big chains. That offer does nothing for us.,"{'begin': 12.909475, 'end': 16.985363}",0.99543315,"[{'name': 'Disappointment', 'score': 0.3700804114341736}, {'name': 'Contempt', 'score': 0.2387477457523346}, {'name': 'Anger', 'score': 0.16656866669654846}, {'name': 'Disgust', 'score': 0.13690899312496185}, {'name': 'Sadness', 'score': 0.1340220868587494}]","2,1,3"
42,Okay. Okay.,"{'begin': 18.83556, 'end': 19.5534}",0.9938965,"[{'name': 'Boredom', 'score': 0.12687483429908752}, {'name': 'Calmness', 'score': 0.12209093570709229}, {'name': 'Tiredness', 'score': 0.10404624789953232}, {'name': 'Relief', 'score': 0.10182185471057892}, {'name': 'Awkwardness', 'score': 0.0773758590221405}]","3,2,4"
43,Let's think about this.,"{'begin': 20.51052, 'end': 21.627161}",0.9984131,"[{'name': 'Determination', 'score': 0.14612619578838348}, {'name': 'Anger', 'score': 0.13389557600021362}, {'name': 'Concentration', 'score': 0.11789634823799133}, {'name': 'Confusion', 'score': 0.11412187665700912}, {'name': 'Interest', 'score': 0.1123594269156456}]","3,2,2"
44,So how about we set up an exclusive local author section in your store,"{'begin': 22.345001, 'end': 27.311562}",0.95825195,"[{'name': 'Interest', 'score': 0.43980562686920166}, {'name': 'Concentration', 'score': 0.36179661750793457}, {'name': 'Determination', 'score': 0.2259860634803772}, {'name': 'Confusion', 'score': 0.20874910056591034}, {'name': 'Doubt', 'score': 0.11438847333192825}]","3,2,3"
45,We supply the books and you provide the,"{'begin': 28.262241, 'end': 30.974081}",,"[{'name': 'Concentration', 'score': 0.27666908502578735}, {'name': 'Interest', 'score': 0.27662143111228943}, {'name': 'Determination', 'score': 0.27091580629348755}, {'name': 'Pride', 'score': 0.24545344710350037}, {'name': 'Satisfaction', 'score': 0.19280028343200684}]","3,3,4"
46,space and we split the revenue. That's...,"{'begin': 30.974081, 'end': 37.926403}",,"[{'name': 'Calmness', 'score': 0.2316202074289322}, {'name': 'Doubt', 'score': 0.11866657435894012}, {'name': 'Boredom', 'score': 0.11739517003297806}, {'name': 'Confusion', 'score': 0.1168697401881218}, {'name': 'Awkwardness', 'score': 0.10566042363643646}]","3,2,2"
47,"Well, that's actually not a bad idea, but the split","{'begin': 39.198723, 'end': 43.17472}",,"[{'name': 'Confusion', 'score': 0.3097963333129883}, {'name': 'Realization', 'score': 0.2554667592048645}, {'name': 'Doubt', 'score': 0.20166687667369843}, {'name': 'Contemplation', 'score': 0.19654220342636108}, {'name': 'Surprise (negative)', 'score': 0.19433920085430145}]","3,2,2"
48,needs to be favorable to us. We can't lose out in our own store. True.,"{'begin': 43.17472, 'end': 49.956963}",,"[{'name': 'Disappointment', 'score': 0.276273638010025}, {'name': 'Determination', 'score': 0.2164752036333084}, {'name': 'Calmness', 'score': 0.2160683423280716}, {'name': 'Concentration', 'score': 0.1906842142343521}, {'name': 'Distress', 'score': 0.1799713671207428}]","3,2,4"
49,So what if we go,"{'begin': 50.595043, 'end': 51.972404}",0.93837893,"[{'name': 'Boredom', 'score': 0.17656326293945312}, {'name': 'Calmness', 'score': 0.12311390787363052}, {'name': 'Interest', 'score': 0.09460113942623138}, {'name': 'Confusion', 'score': 0.08096202462911606}, {'name': 'Determination', 'score': 0.07662984728813171}]","3,3,2"
50,sixty four d,"{'begin': 52.509285, 'end': 53.886642}",0.9065755,"[{'name': 'Interest', 'score': 0.258294939994812}, {'name': 'Calmness', 'score': 0.10379725694656372}, {'name': 'Concentration', 'score': 0.10080228745937347}, {'name': 'Surprise (positive)', 'score': 0.09461820125579834}, {'name': 'Confusion', 'score': 0.08914510160684586}]","4,4,2"
51,your way,"{'begin': 54.343765, 'end': 55.162804}",0.9909668,"[{'name': 'Confusion', 'score': 0.2773370146751404}, {'name': 'Surprise (positive)', 'score': 0.20744366943836212}, {'name': 'Surprise (negative)', 'score': 0.16361072659492493}, {'name': 'Anger', 'score': 0.14561937749385834}, {'name': 'Doubt', 'score': 0.13151033222675323}]","3,2,4"
52,"on local authors,","{'begin': 55.77944, 'end': 56.736565}",0.97347003,"[{'name': 'Interest', 'score': 0.3099081218242645}, {'name': 'Confusion', 'score': 0.11159877479076385}, {'name': 'Contemplation', 'score': 0.09184335917234421}, {'name': 'Surprise (positive)', 'score': 0.08162298798561096}, {'name': 'Calmness', 'score': 0.07803398370742798}]","3,3,2"
53,and I can push for a five percent additional discount on the best sellers.,"{'begin': 57.389248, 'end': 62.317986}",0.98350304,"[{'name': 'Determination', 'score': 0.36463841795921326}, {'name': 'Calmness', 'score': 0.31875208020210266}, {'name': 'Satisfaction', 'score': 0.24693073332309723}, {'name': 'Concentration', 'score': 0.1990719586610794}, {'name': 'Interest', 'score': 0.19271568953990936}]","4,4,4"
54,If you host,"{'begin': 63.19244, 'end': 64.4874}",0.773763,"[{'name': 'Distress', 'score': 0.1341395229101181}, {'name': 'Anger', 'score': 0.1313355416059494}, {'name': 'Disappointment', 'score': 0.12365115433931351}, {'name': 'Love', 'score': 0.08848583698272705}, {'name': 'Sadness', 'score': 0.08493902534246445}]","2,1,3"
55,"monthly events,","{'begin': 64.941345, 'end': 65.736305}",0.8522949,"[{'name': 'Concentration', 'score': 0.23802751302719116}, {'name': 'Calmness', 'score': 0.23569148778915405}, {'name': 'Determination', 'score': 0.15517264604568481}, {'name': 'Interest', 'score': 0.10162927955389023}, {'name': 'Boredom', 'score': 0.0985746681690216}]","3,3,4"
56,and,"{'begin': 66.690254, 'end': 66.745}",0.9838867,"[{'name': 'Sadness', 'score': 0.11004729568958282}, {'name': 'Determination', 'score': 0.10269222408533096}, {'name': 'Calmness', 'score': 0.08935666084289551}, {'name': 'Disappointment', 'score': 0.08553078770637512}, {'name': 'Interest', 'score': 0.08425162732601166}]","3,2,4"
57,Okay. Make it ten percent and you've got yourself more than,"{'begin': 67.66304, 'end': 71.09569}",,"[{'name': 'Pride', 'score': 0.3570558428764343}, {'name': 'Determination', 'score': 0.3223714828491211}, {'name': 'Concentration', 'score': 0.29388606548309326}, {'name': 'Satisfaction', 'score': 0.2874024212360382}, {'name': 'Interest', 'score': 0.23437552154064178}]","4,4,4"
58,"just events. We can do promotions, signings, the works. Okay.","{'begin': 71.09569, 'end': 78.77156}",,"[{'name': 'Determination', 'score': 0.47652921080589294}, {'name': 'Concentration', 'score': 0.4506019353866577}, {'name': 'Contemplation', 'score': 0.30034139752388}, {'name': 'Calmness', 'score': 0.29984933137893677}, {'name': 'Satisfaction', 'score': 0.13033251464366913}]","4,4,5"
59,Okay. Okay. Ten,"{'begin': 79.09055, 'end': 81.243744}",,"[{'name': 'Amusement', 'score': 0.32880720496177673}, {'name': 'Awkwardness', 'score': 0.29878291487693787}, {'name': 'Joy', 'score': 0.13315297663211823}, {'name': 'Sadness', 'score': 0.09101202338933945}, {'name': 'Confusion', 'score': 0.08630748093128204}]","3,2,4"
60,percent it is. You drive a hard,"{'begin': 81.243744, 'end': 83.87543}",,"[{'name': 'Awkwardness', 'score': 0.13759438693523407}, {'name': 'Amusement', 'score': 0.12009578943252563}, {'name': 'Confusion', 'score': 0.09598729014396667}, {'name': 'Realization', 'score': 0.08799585700035095}, {'name': 'Determination', 'score': 0.08725296705961227}]","3,2,3"
61,bargain and Jessica. I have to tell my team that,"{'begin': 83.87543, 'end': 87.24008}",,"[{'name': 'Determination', 'score': 0.13257074356079102}, {'name': 'Interest', 'score': 0.11661302298307419}, {'name': 'Confusion', 'score': 0.1107044443488121}, {'name': 'Concentration', 'score': 0.09800384193658829}, {'name': 'Surprise (negative)', 'score': 0.0922427773475647}]","3,2,4"
62,"you are quite the negotiator. Well,","{'begin': 87.24008, 'end': 90.43048}",,"[{'name': 'Realization', 'score': 0.2717254161834717}, {'name': 'Determination', 'score': 0.17693522572517395}, {'name': 'Calmness', 'score': 0.11388197541236877}, {'name': 'Contemplation', 'score': 0.09487450122833252}, {'name': 'Doubt', 'score': 0.09120261669158936}]","3,2,4"
63,I'll tell mine that someone in the big bad world of,"{'begin': 90.829285, 'end': 93.461365}",,"[{'name': 'Concentration', 'score': 0.1825992316007614}, {'name': 'Amusement', 'score': 0.1785605549812317}, {'name': 'Interest', 'score': 0.17029260098934174}, {'name': 'Pride', 'score': 0.16531871259212494}, {'name': 'Determination', 'score': 0.15949532389640808}]","3,3,3"
64,corporate Publishing has our back after all? So,"{'begin': 93.461365, 'end': 97.55}",,"[{'name': 'Concentration', 'score': 0.26396411657333374}, {'name': 'Contemplation', 'score': 0.25498539209365845}, {'name': 'Determination', 'score': 0.16294899582862854}, {'name': 'Calmness', 'score': 0.1546228677034378}, {'name': 'Boredom', 'score': 0.12817370891571045}]","4,3,4"
65,do we have a deal then? Yeah. Mark.,"{'begin': 97.55, 'end': 100.670006}",,"[{'name': 'Contempt', 'score': 0.15046559274196625}, {'name': 'Doubt', 'score': 0.14750227332115173}, {'name': 'Realization', 'score': 0.12071642279624939}, {'name': 'Anger', 'score': 0.11720920354127884}, {'name': 'Disappointment', 'score': 0.10859772562980652}]","2,1,4"
66,We have a deal. And hopefully? We'll,"{'begin': 100.91, 'end': 103.722626}",,"[{'name': 'Determination', 'score': 0.4161769151687622}, {'name': 'Calmness', 'score': 0.37161585688591003}, {'name': 'Concentration', 'score': 0.36120590567588806}, {'name': 'Interest', 'score': 0.278275728225708}, {'name': 'Contemplation', 'score': 0.14655381441116333}]","3,3,4"
67,have a start to a better partnership too.,"{'begin': 103.722626, 'end': 105.31531}",,"[{'name': 'Determination', 'score': 0.31720849871635437}, {'name': 'Calmness', 'score': 0.26601487398147583}, {'name': 'Interest', 'score': 0.22564545273780823}, {'name': 'Concentration', 'score': 0.1889687478542328}, {'name': 'Satisfaction', 'score': 0.14118187129497528}]","4,4,4"
68,Okay. Okay.,"{'begin': 0.19873948, 'end': 0.99369746}",0.98461914,"[{'name': 'Relief', 'score': 0.21700789034366608}, {'name': 'Boredom', 'score': 0.2122947871685028}, {'name': 'Calmness', 'score': 0.12927527725696564}, {'name': 'Tiredness', 'score': 0.11071792244911194}, {'name': 'Satisfaction', 'score': 0.10684003680944443}]","3,2,4"
69,Let's think about this.,"{'begin': 1.8681512, 'end': 2.9810922}",0.9986572,"[{'name': 'Interest', 'score': 0.20898276567459106}, {'name': 'Determination', 'score': 0.18965213000774384}, {'name': 'Concentration', 'score': 0.1844855546951294}, {'name': 'Calmness', 'score': 0.13046415150165558}, {'name': 'Doubt', 'score': 0.11058513075113297}]","4,3,4"
70,So how about we set up an exclusive local author section in your store?,"{'begin': 3.7760503, 'end': 8.545798}",0.9567871,"[{'name': 'Interest', 'score': 0.3487536311149597}, {'name': 'Concentration', 'score': 0.3378426432609558}, {'name': 'Confusion', 'score': 0.2150149941444397}, {'name': 'Determination', 'score': 0.18559741973876953}, {'name': 'Calmness', 'score': 0.10975714772939682}]","3,3,2"
71,We supply the books and you provide the,"{'begin': 9.674783, 'end': 12.391827}",,"[{'name': 'Interest', 'score': 0.334362268447876}, {'name': 'Concentration', 'score': 0.2809838354587555}, {'name': 'Calmness', 'score': 0.2711319327354431}, {'name': 'Determination', 'score': 0.26623624563217163}, {'name': 'Pride', 'score': 0.22693538665771484}]","4,4,4"
72,space and we we split the revenue. That's...,"{'begin': 12.391827, 'end': 19.35796}",,"[{'name': 'Calmness', 'score': 0.2391415536403656}, {'name': 'Satisfaction', 'score': 0.1388445496559143}, {'name': 'Boredom', 'score': 0.12911124527454376}, {'name': 'Doubt', 'score': 0.11584362387657166}, {'name': 'Confusion', 'score': 0.11442501842975616}]","3,2,2"
73,"Well, that's actually not a bad idea, but the split","{'begin': 20.63412, 'end': 24.54236}",,"[{'name': 'Confusion', 'score': 0.3659272789955139}, {'name': 'Surprise (negative)', 'score': 0.2860652208328247}, {'name': 'Realization', 'score': 0.23928532004356384}, {'name': 'Doubt', 'score': 0.21034787595272064}, {'name': 'Contemplation', 'score': 0.20622767508029938}]","3,2,2"
74,needs to be favorable to us. We can't lose out in our own store. True.,"{'begin': 24.54236, 'end': 31.336962}",,"[{'name': 'Determination', 'score': 0.23923024535179138}, {'name': 'Disappointment', 'score': 0.21909743547439575}, {'name': 'Distress', 'score': 0.17451420426368713}, {'name': 'Contempt', 'score': 0.17162366211414337}, {'name': 'Calmness', 'score': 0.16779594123363495}]","2,1,4"
75,So what if we go,"{'begin': 31.89528, 'end': 33.3524}",0.94785154,"[{'name': 'Boredom', 'score': 0.19470205903053284}, {'name': 'Calmness', 'score': 0.14508745074272156}, {'name': 'Interest', 'score': 0.09310556948184967}, {'name': 'Confusion', 'score': 0.08130854368209839}, {'name': 'Concentration', 'score': 0.07555657625198364}]","3,2,3"
